x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
0.,-41.1915481048,0.,nan,0.,nan,0.,-313.0711954905
238.4185791016,-41.1982460009,238.4185791016,nan,238.4185791016,nan,238.4185791016,-178.4034449945
476.8371582031,-41.2183396905,476.8371582031,nan,476.8371582031,nan,476.8371582031,-172.4078382088
715.2557373047,-41.2518291772,715.2557373047,nan,715.2557373047,nan,715.2557373047,-168.9276199557
953.6743164062,-41.2987144671,953.6743164062,nan,953.6743164062,nan,953.6743164062,-166.4869960306
1192.0928955078,-41.3589955671,1192.0928955078,nan,1192.0928955078,nan,1192.0928955078,-164.6233930927
1430.5114746094,-41.4326724845,1430.5114746094,nan,1430.5114746094,nan,1430.5114746094,-163.1306884781
1668.9300537109,-41.5197452254,1668.9300537109,nan,1668.9300537109,nan,1668.9300537109,-161.8988476123
1907.3486328125,-41.6202137934,1907.3486328125,nan,1907.3486328125,nan,1907.3486328125,-160.8621066188
2145.7672119141,-41.734078187,2145.7672119141,nan,2145.7672119141,nan,2145.7672119141,-159.9779641701
2384.1857910156,-41.8613383981,2384.1857910156,nan,2384.1857910156,nan,2384.1857910156,-159.2173202377
2622.6043701172,-42.0019944094,2622.6043701172,nan,2622.6043701172,nan,2622.6043701172,-158.5593413312
2861.0229492187,-42.1560461914,2861.0229492187,nan,2861.0229492187,nan,2861.0229492187,-157.9885707692
3099.4415283203,-42.3234936999,3099.4415283203,nan,3099.4415283203,nan,3099.4415283203,-157.4932009327
3337.8601074219,-42.5043368724,3337.8601074219,nan,3337.8601074219,nan,3337.8601074219,-157.0639889466
3576.2786865234,-42.6985756249,3576.2786865234,nan,3576.2786865234,nan,3576.2786865234,-156.6935486438
3814.697265625,-42.9062098483,3814.697265625,nan,3814.697265625,nan,3814.697265625,-156.3758727458
4053.1158447266,-43.1272394040,4053.1158447266,nan,4053.1158447266,nan,4053.1158447266,-156.1060013339
4291.5344238281,-43.3616641201,4291.5344238281,nan,4291.5344238281,nan,4291.5344238281,-155.8797863278
4529.9530029297,-43.6094837865,4529.9530029297,nan,4529.9530029297,nan,4529.9530029297,-155.6937207363
4768.3715820312,-43.8706981499,4768.3715820312,nan,4768.3715820312,nan,4768.3715820312,-155.5448126554
5006.7901611328,-44.1453069087,5006.7901611328,nan,5006.7901611328,nan,5006.7901611328,-155.4304908172
5245.2087402344,-44.4333097068,5245.2087402344,nan,5245.2087402344,nan,5245.2087402344,-155.3485327711
5483.6273193359,-44.7347061269,5483.6273193359,nan,5483.6273193359,nan,5483.6273193359,-155.2970095392
5722.0458984375,-45.0494956835,5722.0458984375,nan,5722.0458984375,nan,5722.0458984375,-155.2742424030
5960.4644775391,-45.3776778141,5960.4644775391,nan,5960.4644775391,nan,5960.4644775391,-155.278768708
6198.8830566406,-45.7192518705,6198.8830566406,nan,6198.8830566406,nan,6198.8830566406,-155.309314416
6437.3016357422,-46.074217107,6437.3016357422,nan,6437.3016357422,nan,6437.3016357422,-155.3647717285
6675.7202148437,-46.4425726684,6675.7202148437,nan,6675.7202148437,nan,6675.7202148437,-155.4441805295
6914.1387939453,-46.8243175751,6914.1387939453,nan,6914.1387939453,nan,6914.1387939453,-155.5467127042
7152.5573730469,-47.2194507053,7152.5573730469,nan,7152.5573730469,nan,7152.5573730469,-155.6716586224
7390.9759521484,-47.6279707746,7390.9759521484,nan,7390.9759521484,nan,7390.9759521484,-155.8184152435
7629.39453125,-48.0498763111,7629.39453125,nan,7629.39453125,nan,7629.39453125,-155.9864754375
7867.8131103516,-48.4851656256,7867.8131103516,nan,7867.8131103516,nan,7867.8131103516,-156.1754182123
8106.2316894531,-48.9338367762,8106.2316894531,nan,8106.2316894531,nan,8106.2316894531,-156.3848996204
8344.6502685547,-49.3958875247,8344.6502685547,nan,8344.6502685547,nan,8344.6502685547,-156.6146441771
8583.0688476562,-49.8713152849,8583.0688476562,nan,8583.0688476562,nan,8583.0688476562,-156.8644366696
8821.4874267578,-50.3601170585,8821.4874267578,nan,8821.4874267578,nan,8821.4874267578,-157.134114272
9059.9060058594,-50.8622893586,9059.9060058594,nan,9059.9060058594,nan,9059.9060058594,-157.4235589065
9298.3245849609,-51.3778281150,9298.3245849609,nan,9298.3245849609,nan,9298.3245849609,-157.7326898116
9536.7431640625,-51.9067285597,9536.7431640625,nan,9536.7431640625,nan,9536.7431640625,-158.0614562881
9775.1617431641,-52.4489850857,9775.1617431641,nan,9775.1617431641,nan,9775.1617431641,-158.4098306014
10013.5803222656,-53.0045910744,10013.5803222656,nan,10013.5803222656,nan,10013.5803222656,-158.7778010209
10251.9989013672,-53.5735386833,10251.9989013672,nan,10251.9989013672,nan,10251.9989013672,-159.1653649775
10490.4174804687,-54.155818584,10490.4174804687,nan,10490.4174804687,nan,10490.4174804687,-159.5725223147
10728.8360595703,-54.7514196386,10728.8360595703,nan,10728.8360595703,nan,10728.8360595703,-159.9992686051
10967.2546386719,-55.3603284997,10967.2546386719,nan,10967.2546386719,nan,10967.2546386719,-160.4455884976
11205.6732177734,-55.9825291127,11205.6732177734,nan,11205.6732177734,nan,11205.6732177734,-160.9114490509
11444.091796875,-56.6180020977,11444.091796875,nan,11444.091796875,nan,11444.091796875,-161.3967930056
11682.5103759766,-57.2667239772,11682.5103759766,nan,11682.5103759766,nan,11682.5103759766,-161.9015319346
11920.9289550781,-57.928666211,11920.9289550781,nan,11920.9289550781,nan,11920.9289550781,-162.4255392121
12159.3475341797,-58.6037939856,12159.3475341797,nan,12159.3475341797,nan,12159.3475341797,-162.9686427301
12397.7661132812,-59.2920646931,12397.7661132812,nan,12397.7661132812,nan,12397.7661132812,-163.5306172937
12636.1846923828,-59.9934260144,12636.1846923828,nan,12636.1846923828,nan,12636.1846923828,-164.1111766256
12874.6032714844,-60.7078134997,12874.6032714844,nan,12874.6032714844,nan,12874.6032714844,-164.7099649133
13113.0218505859,-61.4351475069,13113.0218505859,nan,13113.0218505859,nan,13113.0218505859,-165.3265478457
13351.4404296875,-62.1753293225,13351.4404296875,nan,13351.4404296875,nan,13351.4404296875,-165.9604030990
13589.8590087891,-62.9282362377,13589.8590087891,nan,13589.8590087891,nan,13589.8590087891,-166.6109102603
13828.2775878906,-63.6937152925,13828.2775878906,nan,13828.2775878906,nan,13828.2775878906,-167.2773402115
14066.6961669922,-64.4715753195,14066.6961669922,nan,14066.6961669922,nan,14066.6961669922,-167.9588440485
14305.1147460937,-65.2615768267,14305.1147460937,nan,14305.1147460937,nan,14305.1147460937,-168.6544416730
14543.5333251953,-66.0634191340,14543.5333251953,nan,14543.5333251953,nan,14543.5333251953,-169.3630102846
14781.9519042969,-66.8767240407,14781.9519042969,nan,14781.9519042969,nan,14781.9519042969,-170.0832731005
15020.3704833984,-67.7010151329,15020.3704833984,nan,15020.3704833984,nan,15020.3704833984,-170.8137887628
15258.7890625,-68.5356916612,15258.7890625,nan,15258.7890625,nan,15258.7890625,-171.5529420385
15497.2076416016,-69.3799957323,15497.2076416016,nan,15497.2076416016,nan,15497.2076416016,-172.2989365829
15735.6262207031,-70.2329714104,15735.6262207031,nan,15735.6262207031,nan,15735.6262207031,-173.0497907109
15974.0447998047,-71.0934142578,15974.0447998047,nan,15974.0447998047,nan,15974.0447998047,-173.8033372810
16212.4633789062,-71.9598099734,16212.4633789062,nan,16212.4633789062,nan,16212.4633789062,-174.5572289370
