x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
0.,-41.2945500738,0.,nan,0.,nan,0.,-313.0711954905
238.4185791016,-41.3012532116,238.4185791016,nan,238.4185791016,nan,238.4185791016,-173.6268236555
476.8371582031,-41.3213626339,476.8371582031,nan,476.8371582031,nan,476.8371582031,-167.6358965751
715.2557373047,-41.3548783670,715.2557373047,nan,715.2557373047,nan,715.2557373047,-164.1635177484
953.6743164062,-41.4018004544,953.6743164062,nan,953.6743164062,nan,953.6743164062,-161.7339515403
1192.0928955078,-41.4621289555,1192.0928955078,nan,1192.0928955078,nan,1192.0928955078,-159.8847058922
1430.5114746094,-41.5358639449,1430.5114746094,nan,1430.5114746094,nan,1430.5114746094,-158.4097611019
1668.9300537109,-41.6230055102,1668.9300537109,nan,1668.9300537109,nan,1668.9300537109,-157.1992060371
1907.3486328125,-41.7235537507,1907.3486328125,nan,1907.3486328125,nan,1907.3486328125,-156.187419294
2145.7672119141,-41.8375087748,2145.7672119141,nan,2145.7672119141,nan,2145.7672119141,-155.3320593407
2384.1857910156,-41.9648706974,2384.1857910156,nan,2384.1857910156,nan,2384.1857910156,-154.604201306
2622.6043701172,-42.1056396373,2622.6043701172,nan,2622.6043701172,nan,2622.6043701172,-153.9832000091
2861.0229492187,-42.2598157133,2861.0229492187,nan,2861.0229492187,nan,2861.0229492187,-153.4537977865
3099.4415283203,-42.4273990415,3099.4415283203,nan,3099.4415283203,nan,3099.4415283203,-153.0043940824
3337.8601074219,-42.6083897304,3337.8601074219,nan,3337.8601074219,nan,3337.8601074219,-152.6259582701
3576.2786865234,-42.8027878772,3576.2786865234,nan,3576.2786865234,nan,3576.2786865234,-152.3113185898
3814.697265625,-43.0105935626,3814.697265625,nan,3814.697265625,nan,3814.697265625,-152.0546811678
4053.1158447266,-43.2318068462,4053.1158447266,nan,4053.1158447266,nan,4053.1158447266,-151.8512952355
4291.5344238281,-43.4664277604,4291.5344238281,nan,4291.5344238281,nan,4291.5344238281,-151.6972143128
4529.9530029297,-43.7144563046,4529.9530029297,nan,4529.9530029297,nan,4529.9530029297,-151.5891221723
4768.3715820312,-43.9758924383,4768.3715820312,nan,4768.3715820312,nan,4768.3715820312,-151.5242036214
5006.7901611328,-44.250736074,5006.7901611328,nan,5006.7901611328,nan,5006.7901611328,-151.5000469659
5245.2087402344,-44.5389870690,5245.2087402344,nan,5245.2087402344,nan,5245.2087402344,-151.5145693025
5483.6273193359,-44.8406452167,5483.6273193359,nan,5483.6273193359,nan,5483.6273193359,-151.5659585465
5722.0458984375,-45.1557102362,5722.0458984375,nan,5722.0458984375,nan,5722.0458984375,-151.6526279142
5960.4644775391,-45.4841817617,5960.4644775391,nan,5960.4644775391,nan,5960.4644775391,-151.7731798058
6198.8830566406,-45.8260593294,6198.8830566406,nan,6198.8830566406,nan,6198.8830566406,-151.9263768697
6437.3016357422,-46.1813423638,6437.3016357422,nan,6437.3016357422,nan,6437.3016357422,-152.1111186158
6675.7202148437,-46.550030161,6675.7202148437,nan,6675.7202148437,nan,6675.7202148437,-152.3264223574
6914.1387939453,-46.9321218704,6914.1387939453,nan,6914.1387939453,nan,6914.1387939453,-152.5714075612
7152.5573730469,-47.3276164729,7152.5573730469,nan,7152.5573730469,nan,7152.5573730469,-152.8452828983
7390.9759521484,-47.7365127565,7390.9759521484,nan,7390.9759521484,nan,7390.9759521484,-153.147335451
7629.39453125,-48.1588092868,7629.39453125,nan,7629.39453125,nan,7629.39453125,-153.4769216472
7867.8131103516,-48.5945043740,7867.8131103516,nan,7867.8131103516,nan,7867.8131103516,-153.8334595824
8106.2316894531,-49.0435960329,8106.2316894531,nan,8106.2316894531,nan,8106.2316894531,-154.2164224571
8344.6502685547,-49.5060819370,8344.6502685547,nan,8344.6502685547,nan,8344.6502685547,-154.6253329086
8583.0688476562,-49.9819593636,8583.0688476562,nan,8583.0688476562,nan,8583.0688476562,-155.0597580531
8821.4874267578,-50.4712251298,8821.4874267578,nan,8821.4874267578,nan,8821.4874267578,-155.5193050847
9059.9060058594,-50.9738755162,9059.9060058594,nan,9059.9060058594,nan,9059.9060058594,-156.0036172984
9298.3245849609,-51.4899061763,9298.3245849609,nan,9298.3245849609,nan,9298.3245849609,-156.5123704213
9536.7431640625,-52.0193120295,9536.7431640625,nan,9536.7431640625,nan,9536.7431640625,-157.0452691468
9775.1617431641,-52.5620871324,9775.1617431641,nan,9775.1617431641,nan,9775.1617431641,-157.602043772
10013.5803222656,-53.1182245253,10013.5803222656,nan,10013.5803222656,nan,10013.5803222656,-158.1824468439
10251.9989013672,-53.6877160485,10251.9989013672,nan,10251.9989013672,nan,10251.9989013672,-158.7862497189
10490.4174804687,-54.2705521204,10490.4174804687,nan,10490.4174804687,nan,10490.4174804687,-159.4132389348
10728.8360595703,-54.8667214697,10728.8360595703,nan,10728.8360595703,nan,10728.8360595703,-160.0632122891
10967.2546386719,-55.4762108118,10967.2546386719,nan,10967.2546386719,nan,10967.2546386719,-160.7359745067
11205.6732177734,-56.0990044536,11205.6732177734,nan,11205.6732177734,nan,11205.6732177734,-161.4313323639
11444.091796875,-56.7350838128,11444.091796875,nan,11444.091796875,nan,11444.091796875,-162.1490891194
11682.5103759766,-57.3844268272,11682.5103759766,nan,11682.5103759766,nan,11682.5103759766,-162.8890380768
11920.9289550781,-58.0470072296,11920.9289550781,nan,11920.9289550781,nan,11920.9289550781,-163.6509550785
12159.3475341797,-58.7227936507,12159.3475341797,nan,12159.3475341797,nan,12159.3475341797,-164.4345896973
12397.7661132812,-59.4117485078,12397.7661132812,nan,12397.7661132812,nan,12397.7661132812,-165.2396548527
12636.1846923828,-60.1138266210,12636.1846923828,nan,12636.1846923828,nan,12636.1846923828,-166.0658145425
12874.6032714844,-60.8289734849,12874.6032714844,nan,12874.6032714844,nan,12874.6032714844,-166.9126693313
13113.0218505859,-61.5571231013,13113.0218505859,nan,13113.0218505859,nan,13113.0218505859,-167.7797391991
13351.4404296875,-62.2981952530,13351.4404296875,nan,13351.4404296875,nan,13351.4404296875,-168.6664433117
13589.8590087891,-63.0520920651,13589.8590087891,nan,13589.8590087891,nan,13589.8590087891,-169.5720762502
13828.2775878906,-63.8186936537,13828.2775878906,nan,13828.2775878906,nan,13828.2775878906,-170.4957802354
14066.6961669922,-64.5978526091,14066.6961669922,nan,14066.6961669922,nan,14066.6961669922,-171.4365129222
14305.1147460937,-65.3893869888,14305.1147460937,nan,14305.1147460937,nan,14305.1147460937,-172.3930104436
14543.5333251953,-66.1930714043,14543.5333251953,nan,14543.5333251953,nan,14543.5333251953,-173.3637455881
14781.9519042969,-67.0086256785,14781.9519042969,nan,14781.9519042969,nan,14781.9519042969,-174.3468813395
15020.3704833984,-67.8357004133,15020.3704833984,nan,15020.3704833984,nan,15020.3704833984,-175.3402205486
15258.7890625,-68.6738586460,15258.7890625,nan,15258.7890625,nan,15258.7890625,-176.3411533017
15497.2076416016,-69.5225525901,15497.2076416016,nan,15497.2076416016,nan,15497.2076416016,-177.3466046567
15735.6262207031,-70.3810942557,15735.6262207031,nan,15735.6262207031,nan,15735.6262207031,-178.3529868719
15974.0447998047,-71.248618554,15974.0447998047,nan,15974.0447998047,nan,15974.0447998047,-179.3561620319
16212.4633789062,-72.1240373494,16212.4633789062,nan,16212.4633789062,nan,16212.4633789062,-180.3514229691
16450.8819580078,-73.0059829087,16450.8819580078,nan,16450.8819580078,nan,16450.8819580078,-181.3335023069
16689.3005371094,-73.8927394454,16689.3005371094,nan,16689.3005371094,nan,16689.3005371094,-182.2966208304
16927.7191162109,-74.7821621699,16927.7191162109,nan,16927.7191162109,nan,16927.7191162109,-183.2345865036
17166.1376953125,-75.6715847383,17166.1376953125,nan,17166.1376953125,nan,17166.1376953125,-184.1409534149
17404.5562744141,-76.5577186423,17404.5562744141,nan,17404.5562744141,nan,17404.5562744141,-185.0092449204
17642.9748535156,-77.4365523518,17642.9748535156,nan,17642.9748535156,nan,17642.9748535156,-185.8332368572
17881.3934326172,-78.3032642442,17881.3934326172,nan,17881.3934326172,nan,17881.3934326172,-186.6072854383
18119.8120117187,-79.1521714207,18119.8120117187,nan,18119.8120117187,nan,18119.8120117187,-187.3266721512
18358.2305908203,-79.9767452711,18358.2305908203,nan,18358.2305908203,nan,18358.2305908203,-187.9879277673
18596.6491699219,-80.7697312136,18596.6491699219,nan,18596.6491699219,nan,18596.6491699219,-188.5890931079
18835.0677490234,-81.5234093209,18835.0677490234,nan,18835.0677490234,nan,18835.0677490234,-189.1298783396
19073.486328125,-82.2300180991,19073.486328125,nan,19073.486328125,nan,19073.486328125,-189.6116957869
19311.9049072266,-82.8823307225,19311.9049072266,nan,19311.9049072266,nan,19311.9049072266,-190.0375609605
19550.3234863281,-83.4743238723,19550.3234863281,nan,19550.3234863281,nan,19550.3234863281,-190.4118776258
19788.7420654297,-84.0018282185,19788.7420654297,nan,19788.7420654297,nan,19788.7420654297,-190.7401396625
20027.1606445312,-84.4630211149,20027.1606445312,nan,20027.1606445312,nan,20027.1606445312,-191.0285911905
20265.5792236328,-84.8586390383,20265.5792236328,nan,20265.5792236328,nan,20265.5792236328,-191.2838859618
20503.9978027344,-85.1918531317,20503.9978027344,nan,20503.9978027344,nan,20503.9978027344,-191.5127791915
20742.4163818359,-85.4678417351,20742.4163818359,nan,20742.4163818359,nan,20742.4163818359,-191.7218732796
20980.8349609375,-85.693169357,20980.8349609375,nan,20980.8349609375,nan,20980.8349609375,-191.9174267927
21219.2535400391,-85.8751119781,21219.2535400391,nan,21219.2535400391,nan,21219.2535400391,-192.1052261253
21457.6721191406,-86.0210502131,21457.6721191406,nan,21457.6721191406,nan,21457.6721191406,-192.2905125867
21696.0906982422,-86.1380040589,21696.0906982422,nan,21696.0906982422,nan,21696.0906982422,-192.4779542409
21934.5092773437,-86.2323314318,21934.5092773437,nan,21934.5092773437,nan,21934.5092773437,-192.6716509952
22172.9278564453,-86.3095749130,22172.9278564453,nan,22172.9278564453,nan,22172.9278564453,-192.8751622862
22411.3464355469,-86.3744221748,22411.3464355469,nan,22411.3464355469,nan,22411.3464355469,-193.0915484415
22649.7650146484,-86.4307419359,22649.7650146484,nan,22649.7650146484,nan,22649.7650146484,-193.3234187957
22888.18359375,-86.4816625605,22888.18359375,nan,22888.18359375,nan,22888.18359375,-193.5729815405
23126.6021728516,-86.5296689838,23126.6021728516,nan,23126.6021728516,nan,23126.6021728516,-193.8420919021
23365.0207519531,-86.5767020726,23365.0207519531,nan,23365.0207519531,nan,23365.0207519531,-194.1322965016
23603.4393310547,-86.6242512766,23603.4393310547,nan,23603.4393310547,nan,23603.4393310547,-194.4448726863
23841.8579101562,-86.6734361819,23841.8579101562,nan,23841.8579101562,nan,23841.8579101562,-194.7808622645
24080.2764892578,-86.7250756045,24080.2764892578,nan,24080.2764892578,nan,24080.2764892578,-195.141099494
24318.6950683594,-86.7797446053,24318.6950683594,nan,24318.6950683594,nan,24318.6950683594,-195.5262334278
24557.1136474609,-86.8378206819,24557.1136474609,nan,24557.1136474609,nan,24557.1136474609,-195.9367448508
24795.5322265625,-86.8995207349,24795.5322265625,nan,24795.5322265625,nan,24795.5322265625,-196.3729580913
25033.9508056641,-86.9649304423,25033.9508056641,nan,25033.9508056641,nan,25033.9508056641,-196.8350479933
25272.3693847656,-87.0340275549,25272.3693847656,nan,25272.3693847656,nan,25272.3693847656,-197.323042303
25510.7879638672,-87.1067004360,25510.7879638672,nan,25510.7879638672,nan,25510.7879638672,-197.836819684
25749.2065429687,-87.1827629678,25749.2065429687,nan,25749.2065429687,nan,25749.2065429687,-198.3761035331
25987.6251220703,-87.2619667479,25987.6251220703,nan,25987.6251220703,nan,25987.6251220703,-198.9404517388
26226.0437011719,-87.3440113286,26226.0437011719,nan,26226.0437011719,nan,26226.0437011719,-199.5292425176
26464.4622802734,-87.4285530981,26464.4622802734,nan,26464.4622802734,nan,26464.4622802734,-200.1416564896
26702.880859375,-87.5152132724,26702.880859375,nan,26702.880859375,nan,26702.880859375,-200.7766552239
26941.2994384766,-87.6035853592,26941.2994384766,nan,26941.2994384766,nan,26941.2994384766,-201.4329566165
27179.7180175781,-87.6932423557,27179.7180175781,nan,27179.7180175781,nan,27179.7180175781,-202.1090076682
27418.1365966797,-87.7837438606,27418.1365966797,nan,27418.1365966797,nan,27418.1365966797,-202.8029555258
27656.5551757812,-87.8746432047,27656.5551757812,nan,27656.5551757812,nan,27656.5551757812,-203.5126180517
27894.9737548828,-87.9654946378,27894.9737548828,nan,27894.9737548828,nan,27894.9737548828,-204.2354556957
28133.3923339844,-88.0558605486,28133.3923339844,nan,28133.3923339844,nan,28133.3923339844,-204.9685470567
28371.8109130859,-88.1453186419,28371.8109130859,nan,28371.8109130859,nan,28371.8109130859,-205.7085712049
28610.2294921875,-88.2334689519,28610.2294921875,nan,28610.2294921875,nan,28610.2294921875,-206.4518005211
28848.6480712891,-88.3199405358,28848.6480712891,nan,28848.6480712891,nan,28848.6480712891,-207.1941083793
29087.0666503906,-88.4043976687,29087.0666503906,nan,29087.0666503906,nan,29087.0666503906,-207.9309962913
29325.4852294922,-88.4865453492,29325.4852294922,nan,29325.4852294922,nan,29325.4852294922,-208.6576449214
29563.9038085937,-88.5661339306,29563.9038085937,nan,29563.9038085937,nan,29563.9038085937,-209.3689924327
29802.3223876953,-88.6429627097,29802.3223876953,nan,29802.3223876953,nan,29802.3223876953,-210.059841749
